the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac,NTAname
POINT (-73.91469197119768 40.658504888446096),3,Brooklyn,316,42,55,19,8,Newport Street and Saratoga Avenue,Brooklyn,05/26/2022,-73.91469197,40.65850489,X,AREA OF MINIMAL FLOOD HAZARD,6,Brownsville
POINT (-73.94397248363977 40.68008909339079),3,Brooklyn,303,36,56,25,8,Fulton Street and Brooklyn Avenue,Brooklyn,11/07/2019,-73.94397247,40.68008859,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.85599530246941 40.85816291759479),2,Bronx,211,13,80,36,15,Pelham Parkway North and Laconia Avenue,Bronx,08/01/2014,-73.85599528,40.85816238,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Gardens
POINT (-73.93971555923649 40.70691986372804),3,Brooklyn,301,34,53,18,7,Bushwick Avenue and Johnson Avenue,Brooklyn,03/11/2021,-73.9397155,40.70691931,X,AREA OF MINIMAL FLOOD HAZARD,,East Williamsburg
POINT (-73.77065682786275 40.71081908237621),4,Queens,412,27,29,14,5,Jamaica Avenue with Woodhull Avenue and 188th Street,Queens,11/13/2019,-73.77065709,40.71081829,X,AREA OF MINIMAL FLOOD HAZARD,,Hollis
POINT (-73.99003593431941 40.69624379713246),3,Brooklyn,302,33,52,26,10,Tillary Street and Cadman Plaza East,Brooklyn,10/09/2021,-73.99003593,40.6962438,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.95319085305084 40.60880827875425),3,Brooklyn,315,48,41,22,9,Ocean Avenue and Quentin Road,Brooklyn,12/29/2020,-73.95319097,40.60880791,X,AREA OF MINIMAL FLOOD HAZARD,5,Madison
POINT (-73.93114059872107 40.631430819052376),3,Brooklyn,318,45,41,21,9,Kings Highway and Schenectady Avenue,Brooklyn,12/23/2021,-73.9311407,40.63143037,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-73.89026201320105 40.656618279246494),3,Brooklyn,305,42,60,19,8,Stanley Avenue and Sheffield Avenue,Brooklyn,10/07/2020,-73.89026213,40.65661772,X,AREA OF MINIMAL FLOOD HAZARD,3,East New York-New Lots
POINT (-73.95122070659855 40.61897654787894),3,Brooklyn,314,48,41,22,9,Avenue M and East 24th Street,Brooklyn,05/12/2022,-73.95122071,40.61897655,X,AREA OF MINIMAL FLOOD HAZARD,6,Midwood
POINT (-73.98461949386777 40.75920022291105),1,Manhattan,105,4,75,28,12,7th Avenue and West 47th Street,Manhattan,02/24/2017,-73.98461925,40.75919967,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.84696611892257 40.72095792772279),4,Queens,406,29,28,15,6,Austin Street and 70th Avenue,Queens,05/01/2020,-73.84696612,40.72095793,X,AREA OF MINIMAL FLOOD HAZARD,,Forest Hills
POINT (-73.95512125207087 40.68944542199127),3,Brooklyn,303,36,57,25,8,Bedford Avenue and Lafayette Avenue,Brooklyn,12/02/2016,-73.9551212,40.68944492,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.85277191971453 40.69755812628923),4,Queens,482,30,38,15,7,Woodhaven Boulevard at Park Lane South,Queens,01/14/2020,-73.85277192,40.69755813,X,AREA OF MINIMAL FLOOD HAZARD,,Forest Park
POINT (-73.99022079490827 40.71440591902051),1,Manhattan,103,1,65,27,10,Canal Steet with Essex Street and Strauss Square,Manhattan,09/27/2022,-73.99022079,40.71440592,X,AREA OF MINIMAL FLOOD HAZARD,,Chinatown-Two Bridges
POINT (-73.92905210192626 40.66094975763596),3,Brooklyn,317,41,58,20,9,Rutland Road with East 52nd Street and Remsen Avenue,Brooklyn,01/17/2017,-73.92905215,40.66094926,X,AREA OF MINIMAL FLOOD HAZARD,,East Flatbush-Rugby
POINT (-73.9808595465452 40.74197089142968),1,Manhattan,106,2,74,59,12,Third Avenue and East 28th Street,Manhattan,08/05/2020,-73.98085933,40.74197033,X,AREA OF MINIMAL FLOOD HAZARD,,Murray Hill-Kips Bay
POINT (-73.80887433037154 40.7018138735381),4,Queens,412,24,32,14,5,Jamaica Avenue and 146 Street,Queens,11/08/2022,-73.80887433,40.70181387,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica
POINT (-73.92164178321964 40.838886923263715),2,Bronx,204,16,77,29,15,Edward L Grant Hwy and West 169 Street,Bronx,08/18/2016,-73.92164165,40.83888645,X,AREA OF MINIMAL FLOOD HAZARD,,Highbridge
POINT (-73.98106262425777 40.78850745605806),1,Manhattan,107,6,67,47,12,Riverside Drive and West 84 Street,Manhattan,02/09/2023,-73.98106262,40.78850746,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side (Central)
POINT (-73.98553661613981 40.75797344435694),1,Manhattan,105,4,75,28,12,Broadway and 7th Avenue with West 43rd Street,Manhattan,02/24/2017,-73.98553637,40.75797289,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown-Times Square
POINT (-73.98382363663592 40.721473469126344),1,Manhattan,103,2,65,27,10,East Houston Street with Clinton Street and Avenue B,Manhattan,11/03/2019,-73.98382346,40.72147295,X,AREA OF MINIMAL FLOOD HAZARD,5,East Village
POINT (-73.82957202396831 40.78164554578807),4,Queens,407,19,27,11,14,20 Avenue and 530' west of Petracca Place,Queens,11/30/2022,-73.82957202,40.78164555,AE,,2,College Point
POINT (-73.98734669534372 40.69145711735018),3,Brooklyn,302,33,52,26,10,Jay Street/Smith Street and Fulton Street,Brooklyn,09/13/2013,-73.98734658,40.69145666,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.94883137748366 40.81337085422956),1,Manhattan,110,9,70,30,13,8th Avenue and West 130th Street,Manhattan,11/18/2016,-73.9488312,40.81337037,X,AREA OF MINIMAL FLOOD HAZARD,6,Harlem (North)
POINT (-73.95190286777245 40.692062130096474),3,Brooklyn,303,33,57,25,8,Nostrand Avenue and Pulaski Street,Brooklyn,08/17/2022,-73.95190287,40.69206213,X,AREA OF MINIMAL FLOOD HAZARD,,Bedford-Stuyvesant (West)
POINT (-73.93466967726754 40.842956732337065),1,Manhattan,112,10,72,31,13,Amsterdam Avenue and West 173rd Street,Manhattan,07/26/2022,-73.93466968,40.84295673,X,AREA OF MINIMAL FLOOD HAZARD,,Highbridge Park
POINT (-73.98396475158182 40.587567184411796),3,Brooklyn,313,47,46,17,8,Stillwell Avenue between Bay 50th Street and Harway Avenue (mid-block),Brooklyn,06/10/2021,-73.98396488,40.58756692,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,Gravesend (South)
POINT (-74.11220969027714 40.58126524917568),5,Staten Island,502,50,64,24,11,Richmond Road and Lincoln Avenue,Staten Island,07/29/2022,-74.11220969,40.58126525,X,AREA OF MINIMAL FLOOD HAZARD,,New Dorp-Midland Beach
POINT (-73.94693155612225 40.8082936121663),1,Manhattan,110,9,70,30,13,West 125th Street at 400’ west of Lenox Avenue,Manhattan,10/28/2016,-73.94693156,40.80829361,X,AREA OF MINIMAL FLOOD HAZARD,6,Harlem (South)
POINT (-73.82984125264836 40.75896249692782),4,Queens,407,20,40,16,6,Main Street and 40th Road,Queens,10/13/2022,-73.82984125,40.7589625,X,AREA OF MINIMAL FLOOD HAZARD,,Flushing-Willets Point
POINT (-73.9751049882667 40.689698481979036),3,Brooklyn,302,35,57,25,7,Dekalb Avenue and S Portland Avenue,Brooklyn,11/21/2016,-73.9751049,40.68969801,X,AREA OF MINIMAL FLOOD HAZARD,,Fort Greene
POINT (-73.97978966330115 40.7349627938854),1,Manhattan,106,2,74,59,12,1 Avenue and East 20 Street,Manhattan,05/25/2018,-73.97978966,40.73496279,X,AREA OF MINIMAL FLOOD HAZARD,4,Stuyvesant Town-Peter Cooper Village
POINT (-74.18072379503492 40.562065946786525),5,Staten Island,503,51,62,24,11,Woodrow Road with Billings Street and Tynan Street,Staten Island,05/05/2020,-74.1807242,40.56206579,X,AREA OF MINIMAL FLOOD HAZARD,,Arden Heights-Rossville
POINT (-73.86852534474045 40.67327771194518),3,Brooklyn,305,42,60,19,8,Sutter Avenue and Hemlock Street,Brooklyn,05/05/2022,-73.86852534,40.67327771,X,AREA OF MINIMAL FLOOD HAZARD,3,East New York-City Line
POINT (-73.82964310280961 40.881599154520536),2,Bronx,210,12,82,36,14,Baychester Avenue with Tillotson Avenue and Rombouts Avenue,Bronx,09/09/2021,-73.8296431,40.88159915,X,AREA OF MINIMAL FLOOD HAZARD,5,Co-op City
POINT (-73.92458181693604 40.700054524791945),3,Brooklyn,304,37,53,18,7,Wilson Avenue and Hart Street,Brooklyn,04/02/2021,-73.9245818,40.70005396,X,AREA OF MINIMAL FLOOD HAZARD,,Bushwick (West)
POINT (-73.85197921799096 40.68256581144056),4,Queens,409,32,38,15,7,Rockaway Boulevard with 101st Avenue and 88th Street,Queens,10/08/2019,-73.85197936,40.68256516,X,AREA OF MINIMAL FLOOD HAZARD,5,Ozone Park (North)
POINT (-73.93634997001602 40.74506962310629),4,Queens,402,26,37,12,7,Thomson Avenue and 30th Place,Queens,08/26/2022,-73.93634997,40.74506962,X,AREA OF MINIMAL FLOOD HAZARD,6,Sunnyside
POINT (-73.9173319983335 40.84915459949447),2,Bronx,205,14,86,31,15,University Avenue and West 176th Street,Bronx,04/30/2021,-73.91733187,40.84915414,X,AREA OF MINIMAL FLOOD HAZARD,,University Heights (South)-Morris Heights
POINT (-74.07253516639973 40.62246362372982),5,Staten Island,501,49,63,23,11,Bay Street and Vanderbilt Avenue,Staten Island,11/03/2022,-74.07253517,40.62246362,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,Rosebank-Shore Acres-Park Hill
POINT (-73.87608508503253 40.84206604742353),2,Bronx,227,15,87,33,15,East 180th Street and Devoe Avenue,Bronx,07/09/2022,-73.87608509,40.84206605,X,AREA OF MINIMAL FLOOD HAZARD,6,Bronx Park
POINT (-73.92251862284515 40.6505867336084),3,Brooklyn,317,45,58,21,9,Snyder Avenue and East 58th Street,Brooklyn,07/09/2020,-73.9225187,40.65058624,X,AREA OF MINIMAL FLOOD HAZARD,5,East Flatbush-Rugby
POINT (-74.0650757640507 40.60120416250939),5,Staten Island,502,50,64,23,11,Lily Pond Avenue and Narrows Road South,Staten Island,07/21/2022,-74.06507576,40.60120416,X,AREA OF MINIMAL FLOOD HAZARD,,Grasmere-Arrochar-South Beach-Dongan Hills
POINT (-74.113673288513 40.580314108087144),5,Staten Island,502,50,64,24,11,Richmond Road with Todt Hill Road and Greeley Avenue,Staten Island,05/03/2022,-74.11367329,40.58031411,X,AREA OF MINIMAL FLOOD HAZARD,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
POINT (-73.83356012867402 40.687804468968295),4,Queens,409,28,38,15,5,101 Avenue and 110 Street,Queens,03/30/2022,-73.83356013,40.68780447,X,AREA OF MINIMAL FLOOD HAZARD,,South Richmond Hill
POINT (-73.9278192161397 40.69781904941503),3,Brooklyn,304,34,53,18,7,Myrtle Avenue and Hart Street,Brooklyn,10/17/2022,-73.92781922,40.69781905,X,AREA OF MINIMAL FLOOD HAZARD,,Bushwick (West)
POINT (-74.0067886632054 40.67654520432305),3,Brooklyn,306,38,51,26,10,Columbia Street and Mill Street,Brooklyn,11/10/2020,-74.00678856,40.67654481,AE,,1,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
POINT (-73.85927613999608 40.87772839985684),2,Bronx,212,12,83,36,15,Bronxwood Avenue and East 213th Street,Bronx,09/15/2017,-73.8592761,40.8777279,X,AREA OF MINIMAL FLOOD HAZARD,,Williamsbridge-Olinville
POINT (-73.94705076346885 40.703664877465286),3,Brooklyn,301,34,53,18,7,Broadway and Walton Street,Brooklyn,09/27/2022,-73.94705076,40.70366488,X,AREA OF MINIMAL FLOOD HAZARD,4,East Williamsburg
POINT (-73.99115757985848 40.74216643046679),1,Manhattan,105,3,75,28,12,West 23rd Street between 5th Avenue and 6th Avenue (Mid-block),Manhattan,07/25/2013,-73.99115734,40.74216588,X,AREA OF MINIMAL FLOOD HAZARD,,Midtown South-Flatiron-Union Square
POINT (-73.89582193904414 40.82599658393063),2,Bronx,202,17,85,32,14,East 167th Street and Kelly Street,Bronx,05/18/2021,-73.89582186,40.82599605,X,AREA OF MINIMAL FLOOD HAZARD,,Longwood
POINT (-73.89583512702892 40.75061537062679),4,Queens,403,25,30,12,6,35th Avenue with 70th Street and Leverich Street,Queens,05/07/2020,-73.89583508,40.7506147,X,AREA OF MINIMAL FLOOD HAZARD,,Jackson Heights
POINT (-74.00467822494004 40.65720282171003),3,Brooklyn,307,38,51,26,10,3 Avenue and 33 Street,Brooklyn,10/23/2015,-74.00467817,40.65720246,X,AREA OF MINIMAL FLOOD HAZARD,1,Sunset Park (West)
POINT (-73.90050281866314 40.88040022313628),2,Bronx,208,14,81,31,13,Bailey Avenue and West 234th Street and Bailey Place,Bronx,10/14/2015,-73.90050282,40.88040022,X,AREA OF MINIMAL FLOOD HAZARD,5,Kingsbridge Heights-Van Cortlandt Village
POINT (-73.93620954504979 40.82043667753816),1,Manhattan,110,9,71,30,13,Malcolm X Boulevard (Lenox Avenue) and West 145th Street,Manhattan,02/23/2017,-73.93620939,40.82043619,X,AREA OF MINIMAL FLOOD HAZARD,2,Harlem (North)
POINT (-73.9722692373337 40.64106302806977),3,Brooklyn,312,39,44,21,9,Avenue C and East 7th Street,Brooklyn,10/26/2020,-73.97226926,40.64106264,X,AREA OF MINIMAL FLOOD HAZARD,,Kensington
POINT (-73.79174380227703 40.72579067191876),4,Queens,408,24,25,16,6,Union Turnpike and Utopia Parkway,Queens,10/16/2019,-73.79174401,40.7257899,X,AREA OF MINIMAL FLOOD HAZARD,,Fresh Meadows-Utopia
POINT (-73.93845424543427 40.65485899252566),3,Brooklyn,317,41,43,20,9,Lenox Road and East 42nd Street,Brooklyn,09/21/2017,-73.93845429,40.65485852,X,AREA OF MINIMAL FLOOD HAZARD,,East Flatbush-Rugby
POINT (-73.95439781434514 40.789770745319316),1,Manhattan,111,8,68,29,13,Fifth Avenue and West 99th Street (pedestrian crossing),Manhattan,01/25/2017,-73.95439763,40.78977022,X,AREA OF MINIMAL FLOOD HAZARD,,East Harlem (South)
POINT (-73.9266287607321 40.81611956703154),2,Bronx,201,17,84,29,15,Park Avenue and East 144 Street,Bronx,02/06/2023,-73.92662876,40.81611957,X,AREA OF MINIMAL FLOOD HAZARD,5,Mott Haven-Port Morris
POINT (-73.9870611753431 40.7136375700068),1,Manhattan,103,1,65,27,10,Clinton Street and Henry Street,Manhattan,12/23/2019,-73.98706101,40.71363707,X,AREA OF MINIMAL FLOOD HAZARD,,Chinatown-Two Bridges
POINT (-73.94275430437445 40.805743178083695),1,Manhattan,111,9,68,30,13,5th Avenue with East 124th and West 124th Streets,Manhattan,08/19/2016,-73.94275414,40.80574267,X,AREA OF MINIMAL FLOOD HAZARD,6,East Harlem (North)
POINT (-74.02749015322057 40.616985660037315),3,Brooklyn,310,43,46,26,11,Fort Hamilton Parkway and 92nd Street,Brooklyn,05/13/2019,-74.02749021,40.6169854,X,AREA OF MINIMAL FLOOD HAZARD,,Bay Ridge
POINT (-73.94812139420152 40.59757987005743),3,Brooklyn,315,48,41,22,8,Avenue V with Gravesend Neck Road and East 23rd Street,Brooklyn,06/13/2020,-73.94812154,40.59757951,X,AREA OF MINIMAL FLOOD HAZARD,4,Madison
POINT (-73.98253974792843 40.692052105774),3,Brooklyn,302,35,52,26,7,Flatbush Avenue and Willoughby Street,Brooklyn,10/15/2015,-73.98253964,40.69205164,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.92333797537064 40.743700931141966),4,Queens,402,26,37,12,7,Queens Boulevard and 41st Street,Queens,05/11/2019,-73.92333788,40.7437003,X,AREA OF MINIMAL FLOOD HAZARD,,Sunnyside
POINT (-73.98223103461906 40.686721705891195),3,Brooklyn,302,33,52,26,10,Nevins Street and State Street,Brooklyn,01/18/2017,-73.98223094,40.68672125,X,AREA OF MINIMAL FLOOD HAZARD,,Downtown Brooklyn-DUMBO-Boerum Hill
POINT (-73.78759441842284 40.764393601463574),4,Queens,411,19,26,16,3,Francis Lewis Boulevard and 35th Avenue,Queens,07/16/2014,-73.7875946,40.76439283,X,AREA OF MINIMAL FLOOD HAZARD,,Auburndale
POINT (-73.9646539466319 40.65088729917221),3,Brooklyn,314,40,42,21,9,Caton Avenue with East 17th Street and Parade Place,Brooklyn,01/24/2020,-73.96465396,40.65088688,X,AREA OF MINIMAL FLOOD HAZARD,,Flatbush (West)-Ditmas Park-Parkville
POINT (-73.9988855861433 40.712598012041624),1,Manhattan,103,1,65,27,10,St James Place and James Street,Manhattan,11/20/2013,-73.9988854,40.71259753,X,AREA OF MINIMAL FLOOD HAZARD,4,Chinatown-Two Bridges
POINT (-73.92230358118272 40.76732150841002),4,Queens,401,22,36,59,14,30th Avenue and 30th Street,Queens,01/30/2019,-73.92230347,40.7673209,X,AREA OF MINIMAL FLOOD HAZARD,,Astoria (Central)
POINT (-73.9199386964983 40.626306827185786),3,Brooklyn,318,46,59,21,8,Avenue K and East 58 Street,Brooklyn,12/08/2022,-73.9199387,40.62630683,X,AREA OF MINIMAL FLOOD HAZARD,3,Flatlands
POINT (-73.82886416652276 40.69383129362489),4,Queens,409,29,24,15,5,Atlantic Avenue and 118th Street,Queens,03/21/2022,-73.82886434,40.6938306,X,AREA OF MINIMAL FLOOD HAZARD,,Richmond Hill
POINT (-73.9261768903168 40.63062901691333),3,Brooklyn,318,46,41,21,9,Avenue I and East 52nd Street,Brooklyn,12/30/2019,-73.926177,40.63062856,X,AREA OF MINIMAL FLOOD HAZARD,5,Flatlands
POINT (-74.07141155039044 40.61272601320132),5,Staten Island,501,49,63,23,11,Tompkins Avenue and Clifton Avenue,Staten Island,03/02/2022,-74.07141165,40.6127258,X,AREA OF MINIMAL FLOOD HAZARD,,Rosebank-Shore Acres-Park Hill
POINT (-73.95573234236123 40.82289236602304),1,Manhattan,109,7,71,30,13,Riverside Drive and West 138th Street,Manhattan,05/11/2017,-73.95573215,40.82289191,X,AREA OF MINIMAL FLOOD HAZARD,6,Hamilton Heights-Sugar Hill
POINT (-73.86540097998802 40.75301069980999),4,Queens,403,21,35,13,14,37th Avenue and 102nd Street,Queens,04/29/2022,-73.865401,40.75301,X,AREA OF MINIMAL FLOOD HAZARD,,North Corona
POINT (-73.84645772696896 40.8586358984624),2,Bronx,211,13,80,34,14,Pelham Parkway South Service Road at Seymour Avenue,Bronx,01/09/2020,-73.84645773,40.8586359,X,AREA OF MINIMAL FLOOD HAZARD,,Morris Park
POINT (-74.02200501096034 40.61893839887281),3,Brooklyn,310,43,46,26,11,86th Street and Battery Avenue,Brooklyn,09/10/2019,-74.02200506,40.61893813,X,AREA OF MINIMAL FLOOD HAZARD,,Bay Ridge
POINT (-73.92382904143922 40.81282408581172),2,Bronx,201,8,84,29,15,3 Avenue and East 142 Street,Bronx,12/14/2022,-73.92382904,40.81282409,X,AREA OF MINIMAL FLOOD HAZARD,6,Mott Haven-Port Morris
POINT (-73.9556160518143 40.76428971564136),1,Manhattan,108,5,76,28,12,York Avenue and East 68th Street,Manhattan,10/25/2019,-73.95561587,40.76428914,X,AREA OF MINIMAL FLOOD HAZARD,4,Upper East Side-Lenox Hill-Roosevelt Island
POINT (-73.77670936911265 40.72162066933108),4,Queens,408,24,24,11,5,Grand Central Parkway E/B SR with McLaughlin Avenue and 188th Street,Queens,12/15/2021,-73.77670961,40.72161988,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica Estates-Holliswood
POINT (-73.93600602312065 40.69740723351722),3,Brooklyn,304,34,53,18,7,Broadway and Melrose Street,Brooklyn,10/07/2021,-73.93600599,40.69740669,X,AREA OF MINIMAL FLOOD HAZARD,,Bushwick (West)
POINT (-73.90960186767786 40.83228156261629),2,Bronx,203,16,79,32,15,Webster Avenue 300' North of East 168th Street (mid-block),Bronx,02/28/2019,-73.90960176,40.83228106,X,AREA OF MINIMAL FLOOD HAZARD,6,Claremont Village-Claremont (East)
POINT (-73.97604932509923 40.75144213947372),1,Manhattan,105,4,73,28,12,Lexington Avenue and East 42nd Street,Manhattan,09/12/2018,-73.9760491,40.75144156,X,AREA OF MINIMAL FLOOD HAZARD,,East Midtown-Turtle Bay
POINT (-73.81277866404501 40.704875949810756),4,Queens,408,24,24,14,5,Hillside Avenue and 143rd Street,Queens,01/31/2022,-73.81277885,40.70487522,X,AREA OF MINIMAL FLOOD HAZARD,,Jamaica Hills-Briarwood
POINT (-73.9778433021687 40.663400882963785),3,Brooklyn,355,39,44,20,10,Prospect Park West and 11th Street,Brooklyn,07/15/2022,-73.9778433,40.66340088,X,AREA OF MINIMAL FLOOD HAZARD,,Prospect Park
POINT (-73.97649830979674 40.78831498011833),1,Manhattan,107,6,67,47,12,Broadway and West 86th Street,Manhattan,07/30/2019,-73.97649808,40.78831448,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side (Central)
POINT (-73.9638595791786 40.58691955765615),3,Brooklyn,313,48,45,23,8,Avenue Z and East 6th Street,Brooklyn,12/12/2016,-73.96385973,40.58691925,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,Gravesend (South)
POINT (-73.87595684932543 40.87986640931432),2,Bronx,207,11,81,33,15,East Gun Hill Road and Kings College Place,Bronx,06/25/2019,-73.87595678,40.87986594,X,AREA OF MINIMAL FLOOD HAZARD,,Norwood
POINT (-73.85334169601083 40.74019326259551),4,Queens,404,21,35,13,14,108 Street and Van Doren Street,Queens,03/25/2019,-73.8533417,40.74019326,X,AREA OF MINIMAL FLOOD HAZARD,,Corona
POINT (-73.94226247258868 40.8064153872539),1,Manhattan,111,9,68,30,13,5th Avenue and 125th Street,Manhattan,11/05/2016,-73.94226231,40.80641488,X,AREA OF MINIMAL FLOOD HAZARD,6,East Harlem (North)
POINT (-73.96103272510254 40.5817254647897),3,Brooklyn,313,48,46,23,8,Neptune Avenue and Brighton 8th Street,Brooklyn,02/11/2022,-73.96103289,40.58172516,AE,,1,Brighton Beach
POINT (-73.98544924708926 40.778476510274935),1,Manhattan,107,6,67,47,12,West End Avenue and West 70th Street,Manhattan,04/11/2022,-73.985449,40.778476,X,AREA OF MINIMAL FLOOD HAZARD,,Upper West Side-Lincoln Square
POINT (-73.9000977567199 40.84920960531668),2,Bronx,205,15,86,32,15,Webster Avenue between East Tremont and East 178th Street,Bronx,09/05/2013,-73.90009766,40.84920912,X,AREA OF MINIMAL FLOOD HAZARD,,Mount Hope
POINT (-73.99433210766487 40.64059957613495),3,Brooklyn,312,39,48,22,10,Ft. Hamilton Parkway with 44th Street and New Utrecht Avenue,Brooklyn,07/20/2021,-73.9943321,40.64059923,X,AREA OF MINIMAL FLOOD HAZARD,,Borough Park
POINT (-74.0262132357456 40.621492918751514),3,Brooklyn,310,43,46,26,11,86th Street between 4th Avenue and 5th Avenue,Brooklyn,02/22/2016,-74.02621328,40.62149265,X,AREA OF MINIMAL FLOOD HAZARD,,Bay Ridge
POINT (-73.82967575370617 40.8406103953036),2,Bronx,210,13,82,34,14,Crosby Avenue and Coddington Avenue,Bronx,03/12/2020,-73.82967579,40.84060979,X,AREA OF MINIMAL FLOOD HAZARD,6,Throgs Neck-Schuylerville
POINT (-73.84691368966281 40.738624656363825),4,Queens,406,29,35,13,6,Horace Harding Parkway Service Road Eastbound at Grand Central Parkway Service Road West,Queens,01/10/2020,-73.84691369,40.73862466,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,Forest Hills
POINT (-73.86559336259386 40.843766998736065),2,Bronx,211,13,80,33,14,White Plains Road and Van Nest Avenue,Bronx,10/30/2022,-73.86559336,40.843767,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Parkway-Van Nest
POINT (-73.97171147347203 40.63074795975449),3,Brooklyn,314,40,44,21,9,Ocean Parkway and Parkville Avenue,Brooklyn,05/11/2021,-73.97171152,40.63074759,X,AREA OF MINIMAL FLOOD HAZARD,,Flatbush (West)-Ditmas Park-Parkville
POINT (-74.06099028092865 40.607099482160955),5,Staten Island,501,50,64,23,11,Bay Street and School Road,Staten Island,01/06/2023,-74.06099028,40.60709948,X,AREA OF MINIMAL FLOOD HAZARD,,Rosebank-Shore Acres-Park Hill
POINT (-73.9522695294967 40.78983583805204),1,Manhattan,111,8,68,29,13,Madison Avenue and East 100th Street pedestrian crossing (mid-block),Manhattan,07/16/2018,-73.95226935,40.78983531,X,AREA OF MINIMAL FLOOD HAZARD,,East Harlem (South)
POINT (-73.76401820706938 40.71331988276567),4,Queens,412,23,29,11,5,Jamaica Avenue and 196th Street,Queens,10/30/2015,-73.76401848,40.71331908,X,AREA OF MINIMAL FLOOD HAZARD,,Hollis
POINT (-73.79229881542756 40.727142102130244),4,Queens,408,24,25,16,6,Utopia Parkway and 76th Avenue,Queens,04/14/2021,-73.79229902,40.72714133,X,AREA OF MINIMAL FLOOD HAZARD,,Fresh Meadows-Utopia
POINT (-73.86770446171482 40.85450451521102),2,Bronx,211,13,80,33,15,White Plains Road and Lydig Avenue,Bronx,07/25/2014,-73.86770442,40.85450399,X,AREA OF MINIMAL FLOOD HAZARD,,Pelham Parkway-Van Nest
POINT (-73.95411354348275 40.770390108752835),1,Manhattan,108,5,76,28,12,First Avenue and East 76th Street,Manhattan,09/28/2022,-73.95411354,40.77039011,X,AREA OF MINIMAL FLOOD HAZARD,,Upper East Side-Lenox Hill-Roosevelt Island
POINT (-73.94343984026366 40.70878270118397),3,Brooklyn,301,34,53,18,7,Graham Avenue and Scholes Street,Brooklyn,03/22/2021,-73.94343977,40.70878215,X,AREA OF MINIMAL FLOOD HAZARD,,East Williamsburg
POINT (-73.73708342927615 40.73341913867639),4,Queens,413,23,24,11,3,Hillside Avenue and 233rd Street,Queens,11/06/2020,-73.73708369,40.73341831,X,AREA OF MINIMAL FLOOD HAZARD,,Bellerose
POINT (-74.16421201857202 40.586991488510314),5,Staten Island,502,51,63,24,11,Richmond Hill Road and Ring Road,Staten Island,09/23/2022,-74.16421202,40.58699149,X,AREA OF MINIMAL FLOOD HAZARD,4,New Springville-Willowbrook-Bulls Head-Travis
POINT (-73.90409580712372 40.721030668605394),4,Queens,405,30,37,12,6,Flushing Avenue and 61st Street,Queens,08/12/2022,-73.90409581,40.72103067,X,AREA OF MINIMAL FLOOD HAZARD,,Maspeth
POINT (-73.92526864395579 40.84017612390206),2,Bronx,204,16,77,29,15,Ogden Avenue and West 169th Street,Bronx,07/14/2022,-73.92526864,40.84017612,X,AREA OF MINIMAL FLOOD HAZARD,,Highbridge
POINT (-73.82442131513551 40.76099444409312),4,Queens,407,20,40,16,6,Roosevelt Avenue and Bowne Street,Queens,05/12/2021,-73.82442142,40.76099371,X,AREA OF MINIMAL FLOOD HAZARD,,Flushing-Willets Point
POINT (-73.87342802457972 40.67518594973392),3,Brooklyn,305,42,54,19,7,Pitkin Avenue and Chestnut Street,Brooklyn,06/25/2021,-73.87342814,40.67518534,X,AREA OF MINIMAL FLOOD HAZARD,6,East New York-City Line
POINT (-73.85964791542658 40.684454936340764),4,Queens,409,32,38,15,7,Rockaway Boulevard at 81st Street,Queens,06/20/2020,-73.85964792,40.68445494,X,AREA OF MINIMAL FLOOD HAZARD,5,Ozone Park (North)
POINT (-73.99885262040212 40.730669020704966),1,Manhattan,102,1,66,27,10,Washington Square South and Sullivan Street,Manhattan,12/07/2022,-73.99885262,40.73066902,X,AREA OF MINIMAL FLOOD HAZARD,5,Greenwich Village
